"","Units","scenario","region","subresource","year","value","rundate"
"147","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2065,0,2024-03-11 09:44:58
"148","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2070,0,2024-03-11 09:44:58
"149","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2075,0,2024-03-11 09:44:58
"150","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2080,0,2024-03-11 09:44:58
"151","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2085,0,2024-03-11 09:44:58
"152","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2090,0,2024-03-11 09:44:58
"153","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2095,0,2024-03-11 09:44:58
"154","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2100,15.2222,2024-03-11 09:44:58
"155","km^3","PolicyReference","Africa_Eastern","groundwater grade15",1975,0,2024-03-11 09:44:58
"156","km^3","PolicyReference","Africa_Eastern","groundwater grade15",1990,0,2024-03-11 09:44:58
"157","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2005,0,2024-03-11 09:44:58
"158","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2010,0,2024-03-11 09:44:58
"159","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2015,0,2024-03-11 09:44:58
"160","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2020,0,2024-03-11 09:44:58
"161","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2025,0,2024-03-11 09:44:58
"162","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2030,0,2024-03-11 09:44:58
"163","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2035,0,2024-03-11 09:44:58
"164","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2040,0,2024-03-11 09:44:58
"165","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2045,0,2024-03-11 09:44:58
"166","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2050,0,2024-03-11 09:44:58
"167","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2055,0,2024-03-11 09:44:58
"168","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2060,0,2024-03-11 09:44:58
"169","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2065,0,2024-03-11 09:44:58
"170","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2070,0,2024-03-11 09:44:58
"171","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2075,0,2024-03-11 09:44:58
"172","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2080,0,2024-03-11 09:44:58
"173","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2085,0,2024-03-11 09:44:58
"174","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2090,0,2024-03-11 09:44:58
"175","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2095,0,2024-03-11 09:44:58
"176","km^3","PolicyReference","Africa_Eastern","groundwater grade15",2100,13.0244,2024-03-11 09:44:58
"177","km^3","PolicyReference","Africa_Eastern","groundwater grade16",1975,0,2024-03-11 09:44:58
"178","km^3","PolicyReference","Africa_Eastern","groundwater grade16",1990,0,2024-03-11 09:44:58
"179","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2005,0,2024-03-11 09:44:58
"180","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2010,0,2024-03-11 09:44:58
"181","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2015,0,2024-03-11 09:44:58
"182","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2020,0,2024-03-11 09:44:58
"183","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2025,0,2024-03-11 09:44:58
"184","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2030,0,2024-03-11 09:44:58
"185","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2035,0,2024-03-11 09:44:58
"186","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2040,0,2024-03-11 09:44:58
"187","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2045,0,2024-03-11 09:44:58
"188","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2050,0,2024-03-11 09:44:58
"189","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2055,0,2024-03-11 09:44:58
"190","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2060,0,2024-03-11 09:44:58
"191","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2065,0,2024-03-11 09:44:58
"192","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2070,0,2024-03-11 09:44:58
"193","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2075,0,2024-03-11 09:44:58
"194","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2080,0,2024-03-11 09:44:58
"195","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2085,0,2024-03-11 09:44:58
"196","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2090,0,2024-03-11 09:44:58
"197","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2095,0,2024-03-11 09:44:58
"198","km^3","PolicyReference","Africa_Eastern","groundwater grade16",2100,1.48109,2024-03-11 09:44:58
"199","km^3","PolicyReference","Africa_Eastern","groundwater grade17",1975,0,2024-03-11 09:44:58
"200","km^3","PolicyReference","Africa_Eastern","groundwater grade17",1990,0,2024-03-11 09:44:58
"201","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2005,0,2024-03-11 09:44:58
"202","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2010,0,2024-03-11 09:44:58
"203","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2015,0,2024-03-11 09:44:58
