"","Units","scenario","region","subresource","year","value","rundate"
"224","km^3","Reference","Africa_Eastern","groundwater grade18",2010,0,2024-02-05 13:29:59
"225","km^3","Reference","Africa_Eastern","groundwater grade18",2015,0,2024-02-05 13:29:59
"226","km^3","Reference","Africa_Eastern","groundwater grade18",2020,0,2024-02-05 13:29:59
"227","km^3","Reference","Africa_Eastern","groundwater grade18",2025,0,2024-02-05 13:29:59
"228","km^3","Reference","Africa_Eastern","groundwater grade18",2030,0,2024-02-05 13:29:59
"229","km^3","Reference","Africa_Eastern","groundwater grade18",2035,0,2024-02-05 13:29:59
"230","km^3","Reference","Africa_Eastern","groundwater grade18",2040,0,2024-02-05 13:29:59
"231","km^3","Reference","Africa_Eastern","groundwater grade18",2045,0,2024-02-05 13:29:59
"232","km^3","Reference","Africa_Eastern","groundwater grade18",2050,0,2024-02-05 13:29:59
"233","km^3","Reference","Africa_Eastern","groundwater grade18",2055,0,2024-02-05 13:29:59
"234","km^3","Reference","Africa_Eastern","groundwater grade18",2060,0,2024-02-05 13:29:59
"235","km^3","Reference","Africa_Eastern","groundwater grade18",2065,0,2024-02-05 13:29:59
"236","km^3","Reference","Africa_Eastern","groundwater grade18",2070,0,2024-02-05 13:29:59
"237","km^3","Reference","Africa_Eastern","groundwater grade18",2075,0,2024-02-05 13:29:59
"238","km^3","Reference","Africa_Eastern","groundwater grade18",2080,0,2024-02-05 13:29:59
"239","km^3","Reference","Africa_Eastern","groundwater grade18",2085,0,2024-02-05 13:29:59
"240","km^3","Reference","Africa_Eastern","groundwater grade18",2090,0,2024-02-05 13:29:59
"241","km^3","Reference","Africa_Eastern","groundwater grade18",2095,0,2024-02-05 13:29:59
"242","km^3","Reference","Africa_Eastern","groundwater grade18",2100,0,2024-02-05 13:29:59
"243","km^3","Reference","Africa_Eastern","groundwater grade19",1975,0,2024-02-05 13:29:59
"244","km^3","Reference","Africa_Eastern","groundwater grade19",1990,0,2024-02-05 13:29:59
"245","km^3","Reference","Africa_Eastern","groundwater grade19",2005,0,2024-02-05 13:29:59
"246","km^3","Reference","Africa_Eastern","groundwater grade19",2010,0,2024-02-05 13:29:59
"247","km^3","Reference","Africa_Eastern","groundwater grade19",2015,0,2024-02-05 13:29:59
"248","km^3","Reference","Africa_Eastern","groundwater grade19",2020,0,2024-02-05 13:29:59
"249","km^3","Reference","Africa_Eastern","groundwater grade19",2025,0,2024-02-05 13:29:59
"250","km^3","Reference","Africa_Eastern","groundwater grade19",2030,0,2024-02-05 13:29:59
"251","km^3","Reference","Africa_Eastern","groundwater grade19",2035,0,2024-02-05 13:29:59
"252","km^3","Reference","Africa_Eastern","groundwater grade19",2040,0,2024-02-05 13:29:59
"253","km^3","Reference","Africa_Eastern","groundwater grade19",2045,0,2024-02-05 13:29:59
"254","km^3","Reference","Africa_Eastern","groundwater grade19",2050,0,2024-02-05 13:29:59
"255","km^3","Reference","Africa_Eastern","groundwater grade19",2055,0,2024-02-05 13:29:59
"256","km^3","Reference","Africa_Eastern","groundwater grade19",2060,0,2024-02-05 13:29:59
