"","Units","scenario","region","sector","output","year","value","rundate"
"150","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2010,253.5249,2024-02-25 19:37:56
"151","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2015,294.1859,2024-02-25 19:37:56
"152","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2020,325.3277,2024-02-25 19:37:56
"153","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2025,352.8514,2024-02-25 19:37:56
"154","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2030,368.3296,2024-02-25 19:37:56
"155","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2035,380.7174,2024-02-25 19:37:56
"156","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2040,392.3102,2024-02-25 19:37:56
"157","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2045,403.1247,2024-02-25 19:37:56
"158","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2050,412.8369,2024-02-25 19:37:56
"159","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2055,421.518,2024-02-25 19:37:56
"160","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2060,428.9967,2024-02-25 19:37:56
"161","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2065,435.4771,2024-02-25 19:37:56
"162","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2070,440.6303,2024-02-25 19:37:56
"163","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2075,444.188,2024-02-25 19:37:56
"164","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2080,446.0193,2024-02-25 19:37:56
"165","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2085,446.166,2024-02-25 19:37:56
"166","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2090,444.6708,2024-02-25 19:37:56
"167","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2095,441.5844,2024-02-25 19:37:56
"168","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2100,436.9668,2024-02-25 19:37:56
"169","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",1990,18.878114,2024-02-25 19:37:56
"170","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2005,22.4955285,2024-02-25 19:37:56
"171","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2010,25.9406438,2024-02-25 19:37:56
"172","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2015,29.401777,2024-02-25 19:37:56
"173","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2020,29.8075709,2024-02-25 19:37:56
"174","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2025,31.7419368,2024-02-25 19:37:56
"175","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2030,33.8954288,2024-02-25 19:37:56
"176","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2035,35.8683947,2024-02-25 19:37:56
"177","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2040,37.4104145,2024-02-25 19:37:56
"178","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2045,38.507202,2024-02-25 19:37:56
"179","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2050,39.2222443,2024-02-25 19:37:56
"180","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2055,39.627957,2024-02-25 19:37:56
"181","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2060,39.771591,2024-02-25 19:37:56
"182","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2065,39.6978221,2024-02-25 19:37:56
"183","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2070,39.4045861,2024-02-25 19:37:56
"184","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2075,38.8963605,2024-02-25 19:37:56
"185","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2080,38.2070904,2024-02-25 19:37:56
"186","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2085,37.2533043,2024-02-25 19:37:56
"187","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2090,36.0785747,2024-02-25 19:37:56
"188","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2095,34.7319085,2024-02-25 19:37:56
"189","Pcal","Reference","Argentina","FoodDemand_NonStaples","FoodDemand_NonStaples",2100,33.2484609,2024-02-25 19:37:56
"190","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",1990,15.9662841,2024-02-25 19:37:56
"191","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2005,16.558437,2024-02-25 19:37:56
"192","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2010,20.962009,2024-02-25 19:37:56
"193","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2015,19.542953,2024-02-25 19:37:56
"194","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2020,20.10262,2024-02-25 19:37:56
"195","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2025,20.28275,2024-02-25 19:37:56
"196","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2030,20.30732,2024-02-25 19:37:56
"197","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2035,20.27912,2024-02-25 19:37:56
"198","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2040,20.19739,2024-02-25 19:37:56
"199","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2045,20.03896,2024-02-25 19:37:56
"200","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2050,19.79781,2024-02-25 19:37:56
"201","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2055,19.489125,2024-02-25 19:37:56
"202","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2060,19.117861,2024-02-25 19:37:56
"203","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2065,18.698969,2024-02-25 19:37:56
"204","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2070,18.230404,2024-02-25 19:37:56
"205","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2075,17.712816,2024-02-25 19:37:56
"206","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2080,17.14625,2024-02-25 19:37:56
"207","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2085,16.484976,2024-02-25 19:37:56
"208","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2090,15.751454,2024-02-25 19:37:56
"209","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2095,14.969432,2024-02-25 19:37:56
"210","Pcal","Reference","Argentina","FoodDemand_Staples","FoodDemand_Staples",2100,14.157262,2024-02-25 19:37:56
"211","Pcal","Reference","Australia_NZ","FoodDemand_NonStaples","FoodDemand_NonStaples",1990,13.657997,2024-02-25 19:37:56
"212","Pcal","Reference","Australia_NZ","FoodDemand_NonStaples","FoodDemand_NonStaples",2005,15.97999,2024-02-25 19:37:56
"213","Pcal","Reference","Australia_NZ","FoodDemand_NonStaples","FoodDemand_NonStaples",2010,19.95988,2024-02-25 19:37:56
"214","Pcal","Reference","Australia_NZ","FoodDemand_NonStaples","FoodDemand_NonStaples",2015,22.608971,2024-02-25 19:37:56
